Year,Date,Opponent,Score,Result,Location,stadium
1999,1999-09-12,CLE,43-0,L,Away,Cleveland Browns Stadium
1999,1999-09-19,BAL,23-20,L,Away,PSINet Stadium
1999,1999-09-26,SEA,10-29,L,Home,Three Rivers Stadium
1999,1999-10-03,JAX,3-17,L,Home,Three Rivers Stadium
1999,1999-10-10,BUF,21-24,W,Away,Ralph Wilson Stadium
1999,1999-10-17,CIN,17-3,L,Away,Cinergy Field
1999,1999-10-25,ATL,13-9,W,Home,Three Rivers Stadium
1999,1999-11-07,SF,27-6,L,Away,3Com Park
1999,1999-11-14,CLE,15-16,L,Home,Three Rivers Stadium
1999,1999-11-21,TEN,10-16,W,Away,Adelphia Coliseum
1999,1999-11-28,CIN,20-27,L,Home,Three Rivers Stadium
1999,1999-12-02,JAX,6-20,W,Away,Alltel Stadium
1999,1999-12-12,BAL,24-31,L,Home,Three Rivers Stadium
1999,1999-12-18,KC,19-35,W,Away,Arrowhead Stadium
1999,1999-12-26,CAR,30-20,W,Home,Three Rivers Stadium
1999,2000-01-02,TEN,36-47,L,Home,Three Rivers Stadium
2000,2000-09-03,BAL,0-16,L,Home,Three Rivers Stadium
2000,2000-09-17,CLE,20-23,W,Away,Cleveland Browns Stadium
2000,2000-09-24,TEN,20-23,L,Home,Three Rivers Stadium
2000,2000-10-01,JAX,24-13,L,Away,Alltel Stadium
2000,2000-10-08,NYJ,20-3,L,Away,Giants Stadium
2000,2000-10-15,CIN,15-0,W,Home,Three Rivers Stadium
2000,2000-10-22,CLE,22-0,W,Home,Three Rivers Stadium
2000,2000-10-29,BAL,9-6,L,Away,PSINet Stadium
2000,2000-11-05,TEN,7-9,W,Away,Adelphia Coliseum
2000,2000-11-12,PHI,23-26,L,Home,Three Rivers Stadium
2000,2000-11-19,JAX,24-34,L,Home,Three Rivers Stadium
2000,2000-11-26,CIN,48-28,L,Away,Paul Brown Stadium
2000,2000-12-03,OAK,21-20,W,Home,Three Rivers Stadium
2000,2000-12-10,NYG,10-30,W,Away,Giants Stadium
2000,2000-12-16,WAS,24-3,W,Home,Three Rivers Stadium
2000,2000-12-24,SD,34-21,L,Away,Qualcomm Stadium
2001,2001-09-09,JAX,3-21,W,Away,Alltel Stadium
2001,2001-09-30,BUF,20-3,L,Away,Ralph Wilson Stadium
2001,2001-10-07,CIN,16-7,W,Home,Heinz Field
2001,2001-10-14,KC,20-17,L,Away,Arrowhead Stadium
2001,2001-10-21,TB,17-10,L,Away,Raymond James Stadium
2001,2001-10-29,TEN,34-7,W,Home,Heinz Field
2001,2001-11-04,BAL,10-13,L,Home,Heinz Field
2001,2001-11-11,CLE,15-12,L,Away,Cleveland Browns Stadium
2001,2001-11-18,JAX,20-7,W,Home,Heinz Field
2001,2001-11-25,TEN,34-24,L,Away,Adelphia Coliseum
2001,2001-12-02,MIN,21-16,W,Home,Heinz Field
2001,2001-12-09,NYJ,18-7,W,Home,Heinz Field
2001,2001-12-16,BAL,26-21,L,Away,PSINet Stadium
2001,2001-12-23,DET,47-14,W,Home,Heinz Field
2001,2001-12-30,CIN,23-26,W,Away,Paul Brown Stadium
2001,2002-01-06,CLE,28-7,W,Home,Heinz Field
2001,2002-01-20,BAL,27-10,W,Home,Heinz Field
2001,2002-01-27,NE,17-24,L,Home,Heinz Field
2002,2002-09-09,NE,14-30,W,Away,Gillette Stadium
2002,2002-09-15,OAK,17-30,L,Home,Heinz Field
2002,2002-09-29,CLE,16-13,W,Home,Heinz Field
2002,2002-10-06,NO,29-32,W,Away,Louisiana Superdome
2002,2002-10-13,CIN,34-7,L,Away,Paul Brown Stadium
2002,2002-10-21,IND,28-10,W,Home,Heinz Field
2002,2002-10-27,BAL,31-18,L,Away,Ravens Stadium
2002,2002-11-03,CLE,23-20,L,Away,Cleveland Browns Stadium
2002,2002-11-10,ATL,34-34,T,Home,Heinz Field
2002,2002-11-17,TEN,23-31,W,Away,The Coliseum
2002,2002-11-24,CIN,29-21,W,Home,Heinz Field
2002,2002-12-01,JAX,25-23,L,Away,Alltel Stadium
2002,2002-12-08,HOU,6-24,L,Home,Heinz Field
2002,2002-12-15,CAR,30-14,W,Home,Heinz Field
2002,2002-12-23,TB,17-7,L,Away,Raymond James Stadium
2002,2002-12-29,BAL,34-31,W,Home,Heinz Field
2002,2003-01-05,CLE,36-33,W,Home,Heinz Field
2002,2003-01-11,TEN,31-34,W,Away,The Coliseum
2003,2003-09-07,BAL,34-15,W,Home,Heinz Field
2003,2003-09-14,KC,20-41,W,Away,Arrowhead Stadium
2003,2003-09-21,CIN,17-10,L,Away,Paul Brown Stadium
2003,2003-09-28,TEN,13-30,L,Home,Heinz Field
2003,2003-10-05,CLE,13-33,L,Home,Heinz Field
2003,2003-10-12,DEN,14-17,W,Away,Invesco Field at Mile High
2003,2003-10-26,STL,21-33,L,Home,Heinz Field
2003,2003-11-02,SEA,16-23,W,Away,Seahawks Stadium
2003,2003-11-09,ARI,28-15,W,Home,Heinz Field
2003,2003-11-17,SF,14-30,W,Away,3Com Park
2003,2003-11-23,CLE,13-6,L,Away,Cleveland Browns Stadium
2003,2003-11-30,CIN,20-24,L,Home,Heinz Field
2003,2003-12-07,OAK,27-7,W,Home,Heinz Field
2003,2003-12-14,NYJ,0-6,W,Away,Giants Stadium
2003,2003-12-21,SD,40-24,W,Home,Heinz Field
2003,2003-12-28,BAL,10-13,W,Away,M&T Bank Stadium
2004,2004-09-12,OAK,24-21,W,Home,Heinz Field
2004,2004-09-19,BAL,13-30,W,Away,M&T Bank Stadium
2004,2004-09-26,MIA,13-3,L,Away,Pro Player Stadium
2004,2004-10-03,CIN,28-17,W,Home,Heinz Field
2004,2004-10-10,CLE,34-23,W,Home,Heinz Field
2004,2004-10-17,DAL,24-20,L,Away,Texas Stadium
2004,2004-10-31,NE,34-20,W,Home,Heinz Field
2004,2004-11-07,PHI,27-3,W,Home,Heinz Field
